juego;orden_sorteo;temporada_o_anyo;fecha_sorteo;nombre;lugar;dia_semana;hora;bote_promocional;combinacion_ordenada;combinacion_salida;reintegro;complementario;pleno15;estrellas;caballos;primer_premio;serie;fraccion;segundo_premio;bote_real;total_premios;recaudacion;apuestas;cat_1;acertantes_1;premio_1;cat_2;acertantes_2;premio_2;cat_3;acertantes_3;premio_3;cat_4;acertantes_4;premio_4;cat_5;acertantes_5;premio_5;cat_6;acertantes_6;premio_6;cat_7;acertantes_7;premio_7;cat_8;acertantes_8;premio_8;cat_9;acertantes_9;premio_9;cat_10;acertantes_10;premio_10;cat_11;acertantes_11;premio_11;cat_12;acertantes_12;premio_12;cat_13;acertantes_13;premio_13;
Euromillions;60;2011;30/09/2011;;;Friday;00:00;0;5 15 28 31 44;28 15 44 31 5;;;;1 6;;;;;;48.000.000;9.072.692;18.145.384;9.072.692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;59;2011;27/09/2011;;;Tuesday;00:00;0;18 27 28 35 40;28 18 40 27 35;;;;3 5;;;;;;34.000.000;5.903.419;11.806.838;5.903.419;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;58;2011;23/09/2011;;;Friday;00:00;0;6 14 33 34 48;6 33 48 14 34;;;;6 2;;;;;;27.000.000;8.695.619;17.391.238;8.695.619;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;57;2011;20/09/2011;;;Tuesday;00:00;0;9 19 25 36 38;25 38 19 9 36;;;;11 7;;;;;;15.000.000;5.606.647;11.213.294;5.606.647;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;56;2011;16/09/2011;;;Friday;00:00;0;2 8 17 39 42;39 2 42 17 8;;;;3 10;;;;;;15.000.000;9.065.542;18.131.084;9.065.542;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;55;2011;13/09/2011;;;Tuesday;00:00;0;9 28 30 32 49;28 32 49 9 30;;;;9 10;;;;;;159.000.000;8.851.722;17.703.444;8.851.722;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;54;2011;09/09/2011;;;Friday;00:00;0;5 21 28 31 34;21 5 34 31 28;;;;2 1;;;;;;146.000.000;11.332.282;22.664.564;11.332.282;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;53;2011;06/09/2011;;;Tuesday;00:00;0;35 42 47 48 50;42 35 50 48 47;;;;9 8;;;;;;126.000.000;7.859.804;15.719.608;7.859.804;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;52;2011;02/09/2011;;;Friday;00:00;0;12 26 37 38 44;37 12 26 38 44;;;;4 7;;;;;;114.000.000;10.901.126;21.802.252;10.901.126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;51;2011;30/08/2011;;;Tuesday;00:00;0;2 8 10 19 46;46 8 2 10 19;;;;5 9;;;;;;97.000.000;6.970.956;13.941.912;6.970.956;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;50;2011;26/08/2011;;;Friday;00:00;0;12 22 25 33 45;25 45 22 33 12;;;;5 7;;;;;;88.000.000;9.376.246;18.752.492;9.376.246;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;49;2011;23/08/2011;;;Tuesday;00:00;0;4 6 14 42 50;42 50 6 14 4;;;;2 4;;;;;;74.000.000;6.200.023;12.400.046;6.200.023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;48;2011;19/08/2011;;;Friday;00:00;0;6 14 16 28 31;16 6 31 28 14;;;;11 2;;;;;;65.000.000;8.746.686;17.493.372;8.746.686;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;47;2011;16/08/2011;;;Tuesday;00:00;0;1 13 17 18 45;45 18 1 13 17;;;;8 3;;;;;;53.000.000;5.032.362;10.064.724;5.032.362;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;46;2011;12/08/2011;;;Friday;00:00;0;7 10 20 27 37;7 20 37 10 27;;;;7 4;;;;;;46.000.000;8.664.547;17.329.094;8.664.547;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;45;2011;09/08/2011;;;Tuesday;00:00;0;7 23 24 34 36;36 24 34 7 23;;;;11 8;;;;;;34.000.000;5.534.239;11.068.478;5.534.239;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;44;2011;05/08/2011;;;Friday;00:00;0;13 14 18 32 34;34 32 18 14 13;;;;1 10;;;;;;26.000.000;8.335.226;16.670.452;8.335.226;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;43;2011;02/08/2011;;;Tuesday;00:00;0;5 8 14 24 33;8 33 14 24 5;;;;8 3;;;;;;15.000.000;5.293.058;10.586.116;5.293.058;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;42;2011;29/07/2011;;;Friday;00:00;0;12 19 27 37 38;37 38 19 27 12;;;;5 10;;;;;;27.000.000;8.816.165;17.632.330;8.816.165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;41;2011;26/07/2011;;;Tuesday;00:00;0;1 5 22 25 48;5 1 25 48 22;;;;11 3;;;;;;15.000.000;5.179.506;10.359.012;5.179.506;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;40;2011;22/07/2011;;;Friday;00:00;0;4 15 23 49 50;4 50 15 49 23;;;;2 6;;;;;;15.000.000;8.727.935;17.455.870;8.727.935;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;39;2011;19/07/2011;;;Tuesday;00:00;0;3 16 25 26 35;16 3 25 35 26;;;;5 9;;;;;;21.000.000;6.077.123;12.154.246;6.077.123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;38;2011;15/07/2011;;;Friday;00:00;0;6 26 33 34 39;26 6 33 39 34;;;;3 4;;;;;;15.000.000;9.892.991;19.785.982;9.892.991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;37;2011;12/07/2011;;;Tuesday;00:00;0;17 19 38 42 45;19 17 42 45 38;;;;9 10;;;;;;185.000.000;11.130.438;22.260.876;11.130.438;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;36;2011;08/07/2011;;;Friday;00:00;0;12 13 23 40 49;12 13 40 49 23;;;;7 10;;;;;;185.000.000;15.199.786;30.399.572;15.199.786;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;35;2011;05/07/2011;;;Tuesday;00:00;0;11 28 29 47 49;28 47 29 11 49;;;;5 1;;;;;;171.000.000;9.296.255;18.592.510;9.296.255;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
